batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
11,67,44,35,1,125.71,2.86,0,4,18
11,68,21,22,0,95.45,0.0,0,8,1
11,68,21,22,0,95.45,0.0,0,8,8
11,68,21,22,0,95.45,0.0,0,8,19
11,70,18,26,3,69.23,11.54,0,8,7
11,70,18,26,3,69.23,11.54,0,8,14
11,70,18,26,3,69.23,11.54,0,8,17
11,70,18,26,3,69.23,11.54,0,8,20
11,72,34,27,1,125.93,3.7,0,8,3
11,72,34,27,1,125.93,3.7,0,8,17
11,72,34,27,1,125.93,3.7,0,8,18
11,72,34,27,1,125.93,3.7,0,8,19
11,74,21,25,2,84.0,8.0,0,10,4
11,74,21,25,2,84.0,8.0,0,10,10
11,74,21,25,2,84.0,8.0,0,10,18
11,74,21,25,2,84.0,8.0,0,10,19
11,84,42,20,0,210.0,0.0,0,10,9
11,84,42,20,0,210.0,0.0,0,10,10
11,84,42,20,0,210.0,0.0,0,10,17
11,86,16,25,2,64.0,8.0,0,6,13
11,86,16,25,2,64.0,8.0,0,6,16
11,86,16,25,2,64.0,8.0,0,6,20
12,9,54,32,2,168.75,6.25,0,6,2
12,9,54,32,2,168.75,6.25,0,6,13
12,9,54,32,2,168.75,6.25,0,6,14
12,9,54,32,2,168.75,6.25,0,6,19
12,9,54,32,2,168.75,6.25,0,6,20
12,14,36,21,0,171.43,0.0,0,7,13
12,14,36,21,0,171.43,0.0,0,7,19
12,38,23,25,1,92.0,4.0,0,0,0
12,38,23,25,1,92.0,4.0,0,0,2
12,38,23,25,1,92.0,4.0,0,0,5
12,38,23,25,1,92.0,4.0,0,0,13
12,38,23,25,1,92.0,4.0,0,0,14
12,44,54,32,0,168.75,0.0,0,6,4
12,44,54,32,0,168.75,0.0,0,6,7
12,44,54,32,0,168.75,0.0,0,6,14
12,44,54,32,0,168.75,0.0,0,6,19
12,65,37,36,1,102.78,2.78,0,11,4
12,65,37,36,1,102.78,2.78,0,11,7
12,65,37,36,1,102.78,2.78,0,11,14
12,65,37,36,1,102.78,2.78,0,11,19
12,65,37,36,1,102.78,2.78,0,11,20
12,91,60,32,0,187.5,0.0,0,8,2
12,91,60,32,0,187.5,0.0,0,8,4
12,91,60,32,0,187.5,0.0,0,8,7
12,91,60,32,0,187.5,0.0,0,8,8
12,91,60,32,0,187.5,0.0,0,8,14
13,8,39,29,0,134.48,0.0,0,3,0
13,8,39,29,0,134.48,0.0,0,3,3
13,8,39,29,0,134.48,0.0,0,3,8
13,8,39,29,0,134.48,0.0,0,3,10
13,8,39,29,0,134.48,0.0,0,3,11
13,10,17,30,2,56.67,6.67,0,9,0
13,10,17,30,2,56.67,6.67,0,9,3
13,10,17,30,2,56.67,6.67,0,9,16
13,17,52,37,1,140.54,2.7,0,9,0
13,17,52,37,1,140.54,2.7,0,9,5
13,17,52,37,1,140.54,2.7,0,9,10
13,34,55,28,0,196.43,0.0,0,6,3
13,34,55,28,0,196.43,0.0,0,6,8
13,34,55,28,0,196.43,0.0,0,6,10
13,34,55,28,0,196.43,0.0,0,6,11
13,51,22,25,1,88.0,4.0,0,6,0
