batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
A Mhatre,KT Maphaka,10,5,0,200.0,0.0,Right-hand,Left-arm fast
A Mhatre,L Ngidi,4,5,1,80.0,20.0,Right-hand,Right-arm fast
A Mhatre,M Jansen,5,4,1,125.0,25.0,Right-hand,Left-arm fast-medium
A Mhatre,M Prasidh Krishna,0,4,1,0.0,25.0,Right-hand,Right-arm fast
A Mhatre,MJ Santner,2,3,0,66.67,0.0,Right-hand,Left-arm orthodox
A Mhatre,Mohammed Shami,10,8,0,125.0,0.0,Right-hand,Right-arm fast
A Mhatre,Mohammed Siraj,6,8,0,75.0,0.0,Right-hand,Right-arm fast
A Mhatre,PJ Cummins,10,5,1,200.0,20.0,Right-hand,Right-arm fast
A Mhatre,R Shepherd,17,5,0,340.0,0.0,Right-hand,Right-arm fast-medium
A Mhatre,Suyash Sharma,12,8,0,150.0,0.0,Right-hand,Right-arm legbreak
A Mhatre,TU Deshpande,21,11,1,190.91,9.09,Right-hand,Right-arm medium-fast
A Mhatre,VG Arora,0,2,1,0.0,50.0,Right-hand,Right-arm medium-fast
A Mhatre,Yash Dayal,8,7,0,114.29,0.0,Right-hand,Left-arm fast-medium
A Mhatre,Yudhvir Singh,12,4,0,300.0,0.0,Right-hand,Right-arm medium-fast
A Mishra,HV Patel,11,14,1,78.57,7.14,Right-hand,Right-arm offbreak
A Mishra,JR Hazlewood,1,1,0,100.0,0.0,Right-hand,Right-arm fast-medium
A Mishra,KV Sharma,1,6,0,16.67,0.0,Right-hand,Right-arm legbreak
A Mishra,MK Lomror,1,1,0,100.0,0.0,Right-hand,Left-arm orthodox
A Mishra,Mohammed Siraj,5,3,0,166.67,0.0,Right-hand,Right-arm fast
A Mishra,PWH de Silva,0,5,0,0.0,0.0,Right-hand,Right-arm offbreak
A Nortje,AD Russell,0,2,1,0.0,50.0,Right-hand,Right-arm fast
A Nortje,HV Patel,7,4,0,175.0,0.0,Right-hand,Right-arm offbreak
A Nortje,M Pathirana,0,1,0,0.0,0.0,Right-hand,Right-arm fast
A Nortje,M Theekshana,0,3,0,0.0,0.0,Right-hand,Right-arm offbreak
A Nortje,MM Sharma,2,3,0,66.67,0.0,Right-hand,Right-arm medium-fast
A Nortje,Mohammed Shami,4,2,0,200.0,0.0,Right-hand,Right-arm fast
A Nortje,Mohammed Siraj,6,3,0,200.0,0.0,Right-hand,Right-arm fast
A Nortje,RP Meredith,5,3,1,166.67,33.33,Right-hand,Right-arm fast
A Nortje,Rashid Khan,1,3,0,33.33,0.0,Right-hand,Right-arm legbreak
A Nortje,SP Narine,1,2,0,50.0,0.0,Right-hand,Right-arm offbreak
A Nortje,Sandeep Sharma,0,1,1,0.0,100.0,Right-hand,Right-arm medium-fast
A Nortje,Simarjeet Singh,1,4,0,25.0,0.0,Right-hand,Right-arm fast
A Nortje,T Natarajan,2,4,1,50.0,25.0,Right-hand,Left-arm medium-fast
A Nortje,VG Arora,3,3,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Nortje,Vijaykumar Vyshak,1,1,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Nortje,WD Parnell,9,6,0,150.0,0.0,Right-hand,Left-arm fast-medium
A Raghuvanshi,A Nortje,16,8,1,200.0,12.5,Right-hand,Right-arm fast
A Raghuvanshi,AR Patel,16,12,0,133.33,0.0,Right-hand,Left-arm orthodox
A Raghuvanshi,Abhishek Sharma,2,2,0,100.0,0.0,Right-hand,Left-arm orthodox
A Raghuvanshi,Akash Madhwal,1,1,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Arshdeep Singh,7,7,0,100.0,0.0,Right-hand,Left-arm medium-fast
A Raghuvanshi,Ashwani Kumar,7,3,0,233.33,0.0,Right-hand,Right-arm medium
A Raghuvanshi,Avesh Khan,6,5,1,120.0,20.0,Right-hand,Right-arm fast
A Raghuvanshi,DL Chahar,14,5,0,280.0,0.0,Right-hand,Right-arm medium
A Raghuvanshi,E Malinga,1,3,1,33.33,33.33,Right-hand,Right-arm fast
A Raghuvanshi,GJ Maxwell,2,5,0,40.0,0.0,Right-hand,Right-arm offbreak
A Raghuvanshi,HH Pandya,1,3,1,33.33,33.33,Right-hand,Right-arm medium-fast
A Raghuvanshi,HV Patel,9,5,0,180.0,0.0,Right-hand,Right-arm offbreak
