batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded
KL Rahul,M Prasidh Krishna,37,28,2,132.14,7.14,1,6
KL Rahul,Mohammed Shami,32,34,2,94.12,5.88,1,6
KL Rahul,Mohammed Siraj,114,74,1,154.05,1.35,1,6
KL Rahul,Mukesh Choudhary,36,23,0,156.52,0.0,1,3
KL Rahul,Mustafizur Rahman,62,46,1,134.78,2.17,1,2
KL Rahul,N Thushara,24,20,0,120.0,0.0,1,6
KL Rahul,Noor Ahmad,42,28,0,150.0,0.0,1,5
KL Rahul,R Ashwin,57,50,0,114.0,0.0,1,11
KL Rahul,RA Jadeja,33,20,0,165.0,0.0,1,4
KL Rahul,RD Chahar,21,24,0,87.5,0.0,1,8
KL Rahul,Rashid Khan,41,31,0,132.26,0.0,1,8
KL Rahul,SN Thakur,49,26,1,188.46,3.85,1,10
KL Rahul,SP Narine,32,42,0,76.19,0.0,1,11
KL Rahul,Sandeep Sharma,39,42,1,92.86,2.38,1,10
KL Rahul,Shahbaz Ahmed,41,42,1,97.62,2.38,1,4
KL Rahul,Shivam Mavi,14,22,0,63.64,0.0,1,6
KL Rahul,Suyash Sharma,16,26,0,61.54,0.0,1,8
KL Rahul,TA Boult,48,43,2,111.63,4.65,1,2
KL Rahul,TG Southee,44,21,0,209.52,0.0,1,7
KL Rahul,TU Deshpande,26,21,0,123.81,0.0,1,10
KL Rahul,YS Chahal,59,38,0,155.26,0.0,1,8
KL Rahul,Yash Dayal,47,27,0,174.07,0.0,1,2
KR Mayers,DL Chahar,34,22,0,154.55,0.0,0,9
KS Williamson,AR Patel,15,23,1,65.22,4.35,1,4
KS Williamson,K Rabada,18,20,1,90.0,5.0,1,6
KS Williamson,UT Yadav,14,23,0,60.87,0.0,1,6
LS Livingstone,Kuldeep Yadav,20,20,1,100.0,5.0,1,0
LS Livingstone,Rashid Khan,51,31,2,164.52,6.45,1,8
LS Livingstone,Shahbaz Ahmed,36,20,0,180.0,0.0,1,4
M Jansen,M Pathirana,28,22,0,127.27,0.0,0,6
M Shahrukh Khan,HV Patel,25,20,1,125.0,5.0,1,11
M Shahrukh Khan,RA Jadeja,20,22,1,90.91,4.55,1,4
M Shahrukh Khan,SN Thakur,34,22,0,154.55,0.0,1,10
MA Agarwal,AR Patel,22,25,2,88.0,8.0,1,4
MA Agarwal,Avesh Khan,39,25,0,156.0,0.0,1,6
MA Agarwal,PP Chawla,30,20,0,150.0,0.0,1,8
MA Agarwal,YS Chahal,16,22,4,72.73,18.18,1,8
MK Pandey,RA Jadeja,20,23,0,86.96,0.0,1,4
MK Pandey,Washington Sundar,21,23,0,91.3,0.0,1,11
MM Ali,Avesh Khan,37,23,1,160.87,4.35,1,6
MM Ali,HV Patel,22,21,2,104.76,9.52,1,11
MM Ali,LH Ferguson,34,23,2,147.83,8.7,1,6
MM Ali,M Prasidh Krishna,36,24,1,150.0,4.17,1,6
MM Ali,Mohammed Shami,35,28,0,125.0,0.0,1,6
MM Ali,R Ashwin,48,39,1,123.08,2.56,1,11
MM Ali,Rashid Khan,36,30,3,120.0,10.0,1,8
MM Ali,Ravi Bishnoi,33,21,2,157.14,9.52,1,8
MM Ali,YS Chahal,40,29,0,137.93,0.0,1,8
MP Stoinis,C Green,38,27,1,140.74,3.7,1,10
MP Stoinis,HV Patel,28,21,2,133.33,9.52,1,11
MP Stoinis,JR Hazlewood,28,20,1,140.0,5.0,1,7
MP Stoinis,Mustafizur Rahman,47,24,1,195.83,4.17,1,2
MP Stoinis,PP Chawla,37,31,1,119.35,3.23,1,8
MP Stoinis,RD Chahar,46,27,2,170.37,7.41,1,8
MP Stoinis,SN Thakur,31,22,1,140.91,4.55,1,10
MP Stoinis,YS Chahal,29,21,0,138.1,0.0,1,8
MR Marsh,AR Patel,20,21,0,95.24,0.0,1,4
MR Marsh,HV Patel,28,21,1,133.33,4.76,1,11
MR Marsh,K Rabada,39,25,1,156.0,4.0,1,6
MR Marsh,M Prasidh Krishna,50,30,0,166.67,0.0,1,6
MR Marsh,Mohammed Siraj,15,20,0,75.0,0.0,1,6
MR Marsh,TA Boult,47,31,1,151.61,3.23,1,2
MS Dhoni,AD Russell,36,23,1,156.52,4.35,1,6
MS Dhoni,Arshdeep Singh,32,21,1,152.38,4.76,1,3
MS Dhoni,YS Chahal,20,21,2,95.24,9.52,1,8
N Pooran,Arshdeep Singh,49,32,2,153.12,6.25,0,3
N Pooran,CV Varun,71,45,2,157.78,4.44,0,8
N Pooran,HV Patel,49,29,0,168.97,0.0,0,11
N Pooran,Harshit Rana,36,22,0,163.64,0.0,0,7
N Pooran,K Rabada,28,27,2,103.7,7.41,0,6
N Pooran,Kuldeep Yadav,44,32,1,137.5,3.12,0,0
N Pooran,M Prasidh Krishna,10,23,0,43.48,0.0,0,6
N Pooran,Mohammed Siraj,51,28,1,182.14,3.57,0,6
N Pooran,PJ Cummins,43,26,1,165.38,3.85,0,6
N Pooran,Rashid Khan,39,26,1,150.0,3.85,0,8
N Pooran,SP Narine,34,33,1,103.03,3.03,0,11
N Pooran,Sandeep Sharma,33,22,3,150.0,13.64,0,10
N Pooran,VG Arora,29,21,0,138.1,0.0,0,10
N Pooran,YS Chahal,39,28,2,139.29,7.14,0,8
N Rana,AR Patel,36,20,1,180.0,5.0,0,4
N Rana,Avesh Khan,24,20,1,120.0,5.0,0,6
N Rana,B Kumar,21,20,0,105.0,0.0,0,9
N Rana,DL Chahar,34,37,1,91.89,2.7,0,9
N Rana,Kuldeep Yadav,35,21,0,166.67,0.0,0,0
N Rana,Lalit Yadav,49,23,1,213.04,4.35,0,11
N Rana,M Jansen,34,39,1,87.18,2.56,0,2
N Rana,NT Ellis,21,20,0,105.0,0.0,0,7
N Rana,R Ashwin,75,43,1,174.42,2.33,0,11
N Rana,RD Chahar,24,23,3,104.35,13.04,0,8
N Rana,Rashid Khan,39,33,1,118.18,3.03,0,8
N Rana,SN Thakur,31,26,2,119.23,7.69,0,10
N Rana,T Natarajan,73,46,2,158.7,4.35,0,3
N Rana,TA Boult,37,27,1,137.04,3.7,0,2
N Rana,Umran Malik,44,27,1,162.96,3.7,0,6
N Rana,YS Chahal,39,34,4,114.71,11.76,0,8
N Wadhera,M Theekshana,35,28,0,125.0,0.0,1,11
N Wadhera,PWH de Silva,72,36,1,200.0,2.78,1,11
N Wadhera,Ravi Bishnoi,37,25,1,148.0,4.0,1,8
N Wadhera,Suyash Sharma,28,20,0,140.0,0.0,1,8
Nithish Kumar Reddy,Harpreet Brar,45,20,0,225.0,0.0,1,4
P Simran Singh,AR Patel,34,34,1,100.0,2.94,1,4
P Simran Singh,Avesh Khan,47,24,0,195.83,0.0,1,6
P Simran Singh,B Kumar,70,43,4,162.79,9.3,1,9
P Simran Singh,I Sharma,44,28,0,157.14,0.0,1,6
P Simran Singh,KK Ahmed,39,31,0,125.81,0.0,1,2
P Simran Singh,Kuldeep Yadav,46,26,1,176.92,3.85,1,0
P Simran Singh,TA Boult,31,31,3,100.0,9.68,1,2
PD Salt,Arshdeep Singh,37,29,2,127.59,6.9,1,3
PD Salt,Harpreet Brar,35,21,1,166.67,4.76,1,4
PD Salt,KK Ahmed,50,33,0,151.52,0.0,1,2
PD Salt,Mohammed Siraj,56,29,2,193.1,6.9,1,6
PJ Cummins,SN Thakur,36,20,0,180.0,0.0,1,10
PP Shaw,Arshdeep Singh,32,21,1,152.38,4.76,1,3
PP Shaw,DL Chahar,52,36,1,144.44,2.78,1,9
PP Shaw,DR Sams,29,21,0,138.1,0.0,1,7
PP Shaw,Mohammed Siraj,32,22,2,145.45,9.09,1,6
PP Shaw,RA Jadeja,37,20,2,185.0,10.0,1,4
PP Shaw,SP Narine,36,21,0,171.43,0.0,1,11
Priyansh Arya,B Kumar,17,20,0,85.0,0.0,0,9
Priyansh Arya,KK Ahmed,38,20,1,190.0,5.0,0,2
Q de Kock,CV Varun,32,24,2,133.33,8.33,0,8
Q de Kock,DL Chahar,28,29,3,96.55,10.34,0,9
Q de Kock,JD Unadkat,32,24,0,133.33,0.0,0,3
Q de Kock,K Rabada,40,22,0,181.82,0.0,0,6
Q de Kock,KK Ahmed,34,24,1,141.67,4.17,0,2
Q de Kock,M Prasidh Krishna,24,21,1,114.29,4.76,0,6
Q de Kock,Mohammed Shami,23,24,2,95.83,8.33,0,6
Q de Kock,Mohammed Siraj,43,26,1,165.38,3.85,0,6
Q de Kock,Mustafizur Rahman,35,30,1,116.67,3.33,0,2
Q de Kock,RA Jadeja,34,22,0,154.55,0.0,0,4
Q de Kock,Rashid Khan,34,24,1,141.67,4.17,0,8
Q de Kock,SN Thakur,21,21,1,100.0,4.76,0,10
Q de Kock,SP Narine,34,31,1,109.68,3.23,0,11
Q de Kock,Sandeep Sharma,19,23,1,82.61,4.35,0,10
Q de Kock,TG Southee,48,27,0,177.78,0.0,0,7
