batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
Ishan Kishan,AR Patel,59,36,1,163.89,2.78,Left-hand,Left-arm orthodox
Ishan Kishan,B Kumar,62,34,1,182.35,2.94,Left-hand,Right-arm medium
Ishan Kishan,KH Pandya,60,38,0,157.89,0.0,Left-hand,Left-arm orthodox
Ishan Kishan,KK Ahmed,58,36,0,161.11,0.0,Left-hand,Left-arm fast-medium
Ishan Kishan,Lalit Yadav,24,31,1,77.42,3.23,Left-hand,Right-arm offbreak
Ishan Kishan,M Prasidh Krishna,30,26,1,115.38,3.85,Left-hand,Right-arm fast
Ishan Kishan,Mohammed Shami,29,30,0,96.67,0.0,Left-hand,Right-arm fast
Ishan Kishan,Mohammed Siraj,55,45,1,122.22,2.22,Left-hand,Right-arm fast
Ishan Kishan,R Ashwin,25,29,1,86.21,3.45,Left-hand,Right-arm offbreak
Ishan Kishan,Rashid Khan,31,32,2,96.88,6.25,Left-hand,Right-arm legbreak
Ishan Kishan,Ravi Bishnoi,22,31,4,70.97,12.9,Left-hand,Right-arm legbreak
Ishan Kishan,SN Thakur,56,29,1,193.1,3.45,Left-hand,Right-arm medium-fast
Ishan Kishan,SP Narine,47,34,1,138.24,2.94,Left-hand,Right-arm offbreak
Ishan Kishan,Sandeep Sharma,35,22,1,159.09,4.55,Left-hand,Right-arm medium-fast
Ishan Kishan,TA Boult,36,35,2,102.86,5.71,Left-hand,Left-arm fast-medium
Ishan Kishan,TU Deshpande,24,27,0,88.89,0.0,Left-hand,Right-arm medium-fast
Ishan Kishan,VG Arora,20,23,3,86.96,13.04,Left-hand,Right-arm medium-fast
Ishan Kishan,Washington Sundar,21,24,0,87.5,0.0,Left-hand,Right-arm offbreak
JC Buttler,AR Patel,38,29,1,131.03,3.45,Right-hand,Left-arm orthodox
JC Buttler,Avesh Khan,37,25,2,148.0,8.0,Right-hand,Right-arm fast
JC Buttler,B Kumar,47,44,2,106.82,4.55,Right-hand,Right-arm medium
JC Buttler,CV Varun,53,31,1,170.97,3.23,Right-hand,Right-arm legbreak
JC Buttler,DR Sams,30,22,0,136.36,0.0,Right-hand,Right-arm fast-medium
JC Buttler,HH Pandya,46,30,2,153.33,6.67,Right-hand,Right-arm medium-fast
JC Buttler,HV Patel,40,27,0,148.15,0.0,Right-hand,Right-arm offbreak
JC Buttler,Harshit Rana,40,24,1,166.67,4.17,Right-hand,Right-arm fast-medium
JC Buttler,JJ Bumrah,38,53,1,71.7,1.89,Right-hand,Right-arm fast
JC Buttler,JR Hazlewood,38,24,1,158.33,4.17,Right-hand,Right-arm fast-medium
JC Buttler,KK Ahmed,60,44,1,136.36,2.27,Right-hand,Left-arm fast-medium
JC Buttler,Kuldeep Yadav,63,41,1,153.66,2.44,Right-hand,Left-arm chinaman
JC Buttler,M Jansen,46,26,1,176.92,3.85,Right-hand,Left-arm fast-medium
JC Buttler,M Theekshana,55,39,1,141.03,2.56,Right-hand,Right-arm offbreak
JC Buttler,MA Starc,51,28,0,182.14,0.0,Right-hand,Left-arm fast
JC Buttler,Mohammed Shami,61,48,1,127.08,2.08,Right-hand,Right-arm fast
JC Buttler,Mohammed Siraj,52,39,2,133.33,5.13,Right-hand,Right-arm fast
JC Buttler,Mukesh Kumar,33,22,1,150.0,4.55,Right-hand,Right-arm medium-fast
JC Buttler,PJ Cummins,42,30,3,140.0,10.0,Right-hand,Right-arm fast
JC Buttler,PWH de Silva,52,29,0,179.31,0.0,Right-hand,Right-arm offbreak
JC Buttler,RA Jadeja,27,27,2,100.0,7.41,Right-hand,Left-arm orthodox
JC Buttler,Rashid Khan,21,36,1,58.33,2.78,Right-hand,Right-arm legbreak
JC Buttler,SP Narine,15,23,0,65.22,0.0,Right-hand,Right-arm offbreak
JC Buttler,Sandeep Sharma,55,32,1,171.88,3.12,Right-hand,Right-arm medium-fast
JC Buttler,Shivam Mavi,20,20,0,100.0,0.0,Right-hand,Right-arm fast
JC Buttler,TU Deshpande,28,24,0,116.67,0.0,Right-hand,Right-arm medium-fast
JC Buttler,UT Yadav,40,29,0,137.93,0.0,Right-hand,Right-arm fast
JC Buttler,Yash Dayal,100,51,1,196.08,1.96,Right-hand,Left-arm fast-medium
JM Bairstow,M Prasidh Krishna,47,22,0,213.64,0.0,Right-hand,Right-arm fast
JM Bairstow,Mohammed Siraj,52,26,1,200.0,3.85,Right-hand,Right-arm fast
JM Bairstow,R Ashwin,21,20,0,105.0,0.0,Right-hand,Right-arm offbreak
JM Bairstow,TA Boult,58,30,0,193.33,0.0,Right-hand,Left-arm fast-medium
JM Sharma,Kuldeep Yadav,31,28,2,110.71,7.14,Right-hand,Left-arm chinaman
JM Sharma,Rashid Khan,37,23,1,160.87,4.35,Right-hand,Right-arm legbreak
JM Sharma,YS Chahal,41,38,3,107.89,7.89,Right-hand,Right-arm legbreak
JP Inglis,KH Pandya,30,20,1,150.0,5.0,Right-hand,Left-arm orthodox
KA Pollard,M Prasidh Krishna,28,31,0,90.32,0.0,Right-hand,Right-arm fast
KD Karthik,AD Russell,44,20,1,220.0,5.0,Right-hand,Right-arm fast
KD Karthik,Arshdeep Singh,37,22,3,168.18,13.64,Right-hand,Left-arm medium-fast
KD Karthik,Avesh Khan,32,28,2,114.29,7.14,Right-hand,Right-arm fast
KD Karthik,M Theekshana,40,22,0,181.82,0.0,Right-hand,Right-arm offbreak
KD Karthik,Mustafizur Rahman,54,28,0,192.86,0.0,Right-hand,Left-arm fast-medium
KD Karthik,RA Jadeja,30,22,1,136.36,4.55,Right-hand,Left-arm orthodox
KD Karthik,T Natarajan,38,21,1,180.95,4.76,Right-hand,Left-arm medium-fast
KD Karthik,TU Deshpande,35,25,2,140.0,8.0,Right-hand,Right-arm medium-fast
KD Karthik,YS Chahal,19,24,1,79.17,4.17,Right-hand,Right-arm legbreak
KH Pandya,HV Patel,39,29,1,134.48,3.45,Left-hand,Right-arm offbreak
