total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded,batsman,bowler
49,37,0,132.43,0,1,9,80,10
31,24,2,129.17,8.33,1,9,80,17
30,30,3,100,10,1,11,80,21
33,28,2,117.86,7.14,1,6,80,29
14,20,3,70,15,1,2,80,41
31,37,0,83.78,0,1,6,80,52
33,21,0,157.14,0,1,7,80,58
18,22,1,81.82,4.55,1,8,80,62
36,32,0,112.5,0,1,11,80,65
26,25,1,104,4,1,8,80,68
32,28,1,114.29,3.57,1,8,80,70
30,28,1,107.14,3.57,1,8,80,72
19,21,0,90.48,0,1,2,80,82
39,20,2,195,10,1,8,80,91
40,22,1,181.82,4.55,1,8,81,70
42,27,2,155.56,7.41,1,3,82,8
67,52,3,128.85,5.77,1,9,82,17
38,30,4,126.67,13.33,1,6,82,34
37,29,1,127.59,3.45,1,2,82,37
17,30,3,56.67,10,1,6,82,52
32,20,1,160,5,1,2,82,53
26,21,0,123.81,0,1,3,82,54
27,22,2,122.73,9.09,1,4,82,67
20,23,0,86.96,0,1,8,82,72
22,23,1,95.65,4.35,1,6,82,85
30,22,0,136.36,0,0,8,83,5
58,39,2,148.72,5.13,0,3,83,8
101,59,0,171.19,0,0,9,83,10
24,20,0,120,0,0,8,83,15
81,32,3,253.12,9.38,0,7,83,32
58,30,2,193.33,6.67,0,2,83,37
56,30,1,186.67,3.33,0,2,83,41
21,23,2,91.3,8.7,0,11,83,48
26,20,2,130,10,0,9,83,50
38,33,0,115.15,0,0,6,83,51
60,48,1,125,2.08,0,6,83,52
31,20,1,155,5,0,2,83,53
46,23,0,200,0,0,8,83,62
37,23,1,160.87,4.35,0,8,83,68
45,20,0,225,0,0,6,83,69
21,21,1,100,4.76,0,8,83,70
45,31,1,145.16,3.23,0,3,83,73
45,22,0,204.55,0,0,10,83,74
53,31,1,170.97,3.23,0,10,83,76
61,32,2,190.62,6.25,0,2,83,92
