batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
AR Patel,CV Varun,12,25,1,48.0,4.0,Left-hand,Right-arm legbreak,"Arun Jaitley Stadium, Delhi"
AR Patel,CV Varun,12,25,1,48.0,4.0,Left-hand,Right-arm legbreak,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
AR Patel,CV Varun,12,25,1,48.0,4.0,Left-hand,Right-arm legbreak,"Eden Gardens, Kolkata"
AR Patel,JJ Bumrah,32,21,1,152.38,4.76,Left-hand,Right-arm fast,"Arun Jaitley Stadium, Delhi"
AR Patel,JJ Bumrah,32,21,1,152.38,4.76,Left-hand,Right-arm fast,"Brabourne Stadium, Mumbai"
AR Patel,JJ Bumrah,32,21,1,152.38,4.76,Left-hand,Right-arm fast,"Wankhede Stadium, Mumbai"
AR Patel,Noor Ahmad,36,23,2,156.52,8.7,Left-hand,Left-arm wrist-spin,"Arun Jaitley Stadium, Delhi"
AR Patel,Noor Ahmad,36,23,2,156.52,8.7,Left-hand,Left-arm wrist-spin,"MA Chidambaram Stadium, Chepauk, Chennai"
AR Patel,Noor Ahmad,36,23,2,156.52,8.7,Left-hand,Left-arm wrist-spin,"Narendra Modi Stadium, Ahmedabad"
AR Patel,Rashid Khan,80,52,0,153.85,0.0,Left-hand,Right-arm legbreak,"Arun Jaitley Stadium, Delhi"
AR Patel,Rashid Khan,80,52,0,153.85,0.0,Left-hand,Right-arm legbreak,"Narendra Modi Stadium, Ahmedabad"
AR Patel,SP Narine,32,26,2,123.08,7.69,Left-hand,Right-arm offbreak,"Arun Jaitley Stadium, Delhi"
AR Patel,SP Narine,32,26,2,123.08,7.69,Left-hand,Right-arm offbreak,"Brabourne Stadium, Mumbai"
AR Patel,SP Narine,32,26,2,123.08,7.69,Left-hand,Right-arm offbreak,"Eden Gardens, Kolkata"
AR Patel,SP Narine,32,26,2,123.08,7.69,Left-hand,Right-arm offbreak,Sharjah Cricket Stadium
AT Rayudu,Avesh Khan,30,22,0,136.36,0.0,Right-hand,Right-arm fast,"Brabourne Stadium, Mumbai"
AT Rayudu,Avesh Khan,30,22,0,136.36,0.0,Right-hand,Right-arm fast,Dubai International Cricket Stadium
AT Rayudu,Avesh Khan,30,22,0,136.36,0.0,Right-hand,Right-arm fast,"MA Chidambaram Stadium, Chepauk, Chennai"
AT Rayudu,K Rabada,14,20,1,70.0,5.0,Right-hand,Right-arm fast,"Brabourne Stadium, Mumbai"
AT Rayudu,K Rabada,14,20,1,70.0,5.0,Right-hand,Right-arm fast,Dubai International Cricket Stadium
AT Rayudu,K Rabada,14,20,1,70.0,5.0,Right-hand,Right-arm fast,"Wankhede Stadium, Mumbai"
AT Rayudu,Rashid Khan,32,22,1,145.45,4.55,Right-hand,Right-arm legbreak,"MA Chidambaram Stadium, Chepauk, Chennai"
AT Rayudu,Rashid Khan,32,22,1,145.45,4.55,Right-hand,Right-arm legbreak,"Maharashtra Cricket Association Stadium, Pune"
AT Rayudu,Rashid Khan,32,22,1,145.45,4.55,Right-hand,Right-arm legbreak,"Narendra Modi Stadium, Ahmedabad"
Abdul Samad,CV Varun,30,23,1,130.43,4.35,Right-hand,Right-arm legbreak,Dubai International Cricket Stadium
Abdul Samad,CV Varun,30,23,1,130.43,4.35,Right-hand,Right-arm legbreak,"Eden Gardens, Kolkata"
Abdul Samad,CV Varun,30,23,1,130.43,4.35,Right-hand,Right-arm legbreak,"MA Chidambaram Stadium, Chepauk, Chennai"
Abdul Samad,CV Varun,30,23,1,130.43,4.35,Right-hand,Right-arm legbreak,"Narendra Modi Stadium, Ahmedabad"
Abdul Samad,CV Varun,30,23,1,130.43,4.35,Right-hand,Right-arm legbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,Arshdeep Singh,44,29,1,151.72,3.45,Left-hand,Left-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
Abhishek Sharma,Arshdeep Singh,44,29,1,151.72,3.45,Left-hand,Left-arm medium-fast,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
Abhishek Sharma,Arshdeep Singh,44,29,1,151.72,3.45,Left-hand,Left-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,Arshdeep Singh,44,29,1,151.72,3.45,Left-hand,Left-arm medium-fast,"Wankhede Stadium, Mumbai"
Abhishek Sharma,DL Chahar,39,32,1,121.88,3.12,Left-hand,Right-arm medium,"MA Chidambaram Stadium, Chepauk, Chennai"
Abhishek Sharma,DL Chahar,39,32,1,121.88,3.12,Left-hand,Right-arm medium,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,DL Chahar,39,32,1,121.88,3.12,Left-hand,Right-arm medium,"Wankhede Stadium, Mumbai"
Abhishek Sharma,I Sharma,63,31,1,203.23,3.23,Left-hand,Right-arm fast,"Arun Jaitley Stadium, Delhi"
Abhishek Sharma,I Sharma,63,31,1,203.23,3.23,Left-hand,Right-arm fast,"Narendra Modi Stadium, Ahmedabad"
Abhishek Sharma,I Sharma,63,31,1,203.23,3.23,Left-hand,Right-arm fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,M Theekshana,33,20,1,165.0,5.0,Left-hand,Right-arm offbreak,"Dr DY Patil Sports Academy, Mumbai"
Abhishek Sharma,M Theekshana,33,20,1,165.0,5.0,Left-hand,Right-arm offbreak,"MA Chidambaram Stadium, Chepauk, Chennai"
Abhishek Sharma,M Theekshana,33,20,1,165.0,5.0,Left-hand,Right-arm offbreak,"Maharashtra Cricket Association Stadium, Pune"
Abhishek Sharma,M Theekshana,33,20,1,165.0,5.0,Left-hand,Right-arm offbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,Mohammed Siraj,43,44,1,97.73,2.27,Left-hand,Right-arm fast,"Brabourne Stadium, Mumbai"
Abhishek Sharma,Mohammed Siraj,43,44,1,97.73,2.27,Left-hand,Right-arm fast,"Narendra Modi Stadium, Ahmedabad"
Abhishek Sharma,Mohammed Siraj,43,44,1,97.73,2.27,Left-hand,Right-arm fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,Mohammed Siraj,43,44,1,97.73,2.27,Left-hand,Right-arm fast,"Zayed Cricket Stadium, Abu Dhabi"
Abhishek Sharma,Mukesh Choudhary,57,27,1,211.11,3.7,Left-hand,Left-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
Abhishek Sharma,Mukesh Choudhary,57,27,1,211.11,3.7,Left-hand,Left-arm medium-fast,"Maharashtra Cricket Association Stadium, Pune"
Abhishek Sharma,Mukesh Choudhary,57,27,1,211.11,3.7,Left-hand,Left-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,R Ashwin,28,20,1,140.0,5.0,Left-hand,Right-arm offbreak,"Maharashtra Cricket Association Stadium, Pune"
Abhishek Sharma,R Ashwin,28,20,1,140.0,5.0,Left-hand,Right-arm offbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,R Ashwin,28,20,1,140.0,5.0,Left-hand,Right-arm offbreak,"Sawai Mansingh Stadium, Jaipur"
Abhishek Sharma,Rashid Khan,82,36,1,227.78,2.78,Left-hand,Right-arm legbreak,"Dr DY Patil Sports Academy, Mumbai"
Abhishek Sharma,Rashid Khan,82,36,1,227.78,2.78,Left-hand,Right-arm legbreak,"Narendra Modi Stadium, Ahmedabad"
Abhishek Sharma,Rashid Khan,82,36,1,227.78,2.78,Left-hand,Right-arm legbreak,"Wankhede Stadium, Mumbai"
Abhishek Sharma,SP Narine,51,26,1,196.15,3.85,Left-hand,Right-arm offbreak,"Arun Jaitley Stadium, Delhi"
Abhishek Sharma,SP Narine,51,26,1,196.15,3.85,Left-hand,Right-arm offbreak,Dubai International Cricket Stadium
Abhishek Sharma,SP Narine,51,26,1,196.15,3.85,Left-hand,Right-arm offbreak,"Eden Gardens, Kolkata"
Abhishek Sharma,SP Narine,51,26,1,196.15,3.85,Left-hand,Right-arm offbreak,"Maharashtra Cricket Association Stadium, Pune"
Abhishek Sharma,TA Boult,33,28,3,117.86,10.71,Left-hand,Left-arm fast-medium,"MA Chidambaram Stadium, Chepauk, Chennai"
Abhishek Sharma,TA Boult,33,28,3,117.86,10.71,Left-hand,Left-arm fast-medium,"Maharashtra Cricket Association Stadium, Pune"
Abhishek Sharma,TA Boult,33,28,3,117.86,10.71,Left-hand,Left-arm fast-medium,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,TA Boult,33,28,3,117.86,10.71,Left-hand,Left-arm fast-medium,"Wankhede Stadium, Mumbai"
Abhishek Sharma,TA Boult,33,28,3,117.86,10.71,Left-hand,Left-arm fast-medium,"Zayed Cricket Stadium, Abu Dhabi"
Abhishek Sharma,VG Arora,17,23,1,73.91,4.35,Left-hand,Right-arm medium-fast,"Arun Jaitley Stadium, Delhi"
Abhishek Sharma,VG Arora,17,23,1,73.91,4.35,Left-hand,Right-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
Abhishek Sharma,VG Arora,17,23,1,73.91,4.35,Left-hand,Right-arm medium-fast,"Eden Gardens, Kolkata"
Abhishek Sharma,VG Arora,17,23,1,73.91,4.35,Left-hand,Right-arm medium-fast,"Narendra Modi Stadium, Ahmedabad"
Abhishek Sharma,VG Arora,17,23,1,73.91,4.35,Left-hand,Right-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,WG Jacks,33,20,0,165.0,0.0,Left-hand,Right-arm offbreak,"M Chinnaswamy Stadium, Bengaluru"
Abhishek Sharma,WG Jacks,33,20,0,165.0,0.0,Left-hand,Right-arm offbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,WG Jacks,33,20,0,165.0,0.0,Left-hand,Right-arm offbreak,"Wankhede Stadium, Mumbai"
Abhishek Sharma,Yash Dayal,40,33,2,121.21,6.06,Left-hand,Left-arm fast-medium,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
Abhishek Sharma,Yash Dayal,40,33,2,121.21,6.06,Left-hand,Left-arm fast-medium,"M Chinnaswamy Stadium, Bengaluru"
Abhishek Sharma,Yash Dayal,40,33,2,121.21,6.06,Left-hand,Left-arm fast-medium,"Narendra Modi Stadium, Ahmedabad"
Abhishek Sharma,Yash Dayal,40,33,2,121.21,6.06,Left-hand,Left-arm fast-medium,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abhishek Sharma,Yash Dayal,40,33,2,121.21,6.06,Left-hand,Left-arm fast-medium,"Wankhede Stadium, Mumbai"
Abhishek Sharma,Yash Thakur,72,27,0,266.67,0.0,Left-hand,Right-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Abishek Porel,JJ Bumrah,14,21,1,66.67,4.76,Left-hand,Right-arm fast,"Arun Jaitley Stadium, Delhi"
Abishek Porel,JJ Bumrah,14,21,1,66.67,4.76,Left-hand,Right-arm fast,"Wankhede Stadium, Mumbai"
B Sai Sudharsan,A Nortje,40,20,0,200.0,0.0,Left-hand,Right-arm fast,"Arun Jaitley Stadium, Delhi"
B Sai Sudharsan,AR Patel,51,25,0,204.0,0.0,Left-hand,Left-arm orthodox,"Arun Jaitley Stadium, Delhi"
B Sai Sudharsan,AR Patel,51,25,0,204.0,0.0,Left-hand,Left-arm orthodox,"Narendra Modi Stadium, Ahmedabad"
B Sai Sudharsan,Arshdeep Singh,37,32,2,115.62,6.25,Left-hand,Left-arm medium-fast,"Brabourne Stadium, Mumbai"
B Sai Sudharsan,Arshdeep Singh,37,32,2,115.62,6.25,Left-hand,Left-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
B Sai Sudharsan,Arshdeep Singh,37,32,2,115.62,6.25,Left-hand,Left-arm medium-fast,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
B Sai Sudharsan,Arshdeep Singh,37,32,2,115.62,6.25,Left-hand,Left-arm medium-fast,"Narendra Modi Stadium, Ahmedabad"
B Sai Sudharsan,Arshdeep Singh,37,32,2,115.62,6.25,Left-hand,Left-arm medium-fast,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
B Sai Sudharsan,B Kumar,24,25,0,96.0,0.0,Left-hand,Right-arm medium,"Dr DY Patil Sports Academy, Mumbai"
B Sai Sudharsan,B Kumar,24,25,0,96.0,0.0,Left-hand,Right-arm medium,"M Chinnaswamy Stadium, Bengaluru"
B Sai Sudharsan,B Kumar,24,25,0,96.0,0.0,Left-hand,Right-arm medium,"Narendra Modi Stadium, Ahmedabad"
B Sai Sudharsan,DL Chahar,25,21,0,119.05,0.0,Left-hand,Right-arm medium,"MA Chidambaram Stadium, Chepauk, Chennai"
B Sai Sudharsan,DL Chahar,25,21,0,119.05,0.0,Left-hand,Right-arm medium,"Narendra Modi Stadium, Ahmedabad"
B Sai Sudharsan,DL Chahar,25,21,0,119.05,0.0,Left-hand,Right-arm medium,"Wankhede Stadium, Mumbai"
B Sai Sudharsan,K Rabada,28,21,0,133.33,0.0,Left-hand,Right-arm fast,"Brabourne Stadium, Mumbai"
B Sai Sudharsan,K Rabada,28,21,0,133.33,0.0,Left-hand,Right-arm fast,"Dr DY Patil Sports Academy, Mumbai"
B Sai Sudharsan,K Rabada,28,21,0,133.33,0.0,Left-hand,Right-arm fast,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
B Sai Sudharsan,K Rabada,28,21,0,133.33,0.0,Left-hand,Right-arm fast,"Narendra Modi Stadium, Ahmedabad"
B Sai Sudharsan,K Rabada,28,21,0,133.33,0.0,Left-hand,Right-arm fast,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
B Sai Sudharsan,KK Ahmed,29,22,0,131.82,0.0,Left-hand,Left-arm fast-medium,"Arun Jaitley Stadium, Delhi"
B Sai Sudharsan,KK Ahmed,29,22,0,131.82,0.0,Left-hand,Left-arm fast-medium,"Narendra Modi Stadium, Ahmedabad"
B Sai Sudharsan,Kuldeep Yadav,36,32,1,112.5,3.12,Left-hand,Left-arm chinaman,"Arun Jaitley Stadium, Delhi"
B Sai Sudharsan,Kuldeep Yadav,36,32,1,112.5,3.12,Left-hand,Left-arm chinaman,"Narendra Modi Stadium, Ahmedabad"
